ubigeo,periodo,irsip,irsip_bruto,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria
101002,2019-09-01,NA,NA,0,-0.0689433155080214,NA,NA
101002,2019-10-01,NA,NA,0,-0.05510106951871658,NA,NA
101002,2019-11-01,NA,NA,0,-0.040187165775401074,NA,NA
101002,2019-12-01,24,0.004406237959536603,0,-0.048555852485301976,0.05296209044483858,0
101002,2020-01-01,17.24,-0.04389108310895032,0,-0.09870208222103578,0.054810999112085465,0
101002,2020-02-01,16.07,-0.05221059877286719,0,-0.0965621996796583,0.04435160090679111,0
101002,2020-03-01,20.12,-0.02331837841043232,0,-0.06767378537106247,0.04435540696063015,0
101002,2020-04-01,20.59,-0.01994232000963775,0,-0.06250240256273358,0.04256008255309583,0
101002,2020-05-01,8.54,-0.10598279531788707,0,-0.14854351308061933,0.042560717762732264,0
101002,2020-06-01,9.43,-0.09968458161915611,0,-0.14212386545648692,0.04243928383733081,0
101002,2020-07-01,8.54,-0.10597421612230246,0,-0.14729524826481583,0.04132103214251337,0
101002,2020-08-01,8.21,-0.10836209093641203,0,-0.14970261612386546,0.041340525187453424,0
101002,2020-09-01,8.47,-0.10648995827562563,0,-0.1491676454885211,0.04267768721289547,0
101002,2020-10-01,8.47,-0.10648913461199988,0,-0.14720608649225841,0.04071695188025853,0
101002,2020-11-01,7.46,-0.11369925873904546,0,-0.15433902829684998,0.04063976955780452,0
101002,2020-12-01,7.93,-0.11038923800303417,0,-0.150950880939669,0.04056164293663482,0
101002,2021-01-01,5.95,-0.12449765465988122,0,-0.16071980932203392,0.03622215466215269,0
101002,2021-02-01,9.55,-0.0987997750822552,0,-0.13489141949152542,0.03609164440927022,0
101002,2021-03-01,18.05,-0.038077354406010885,0,-0.0740354872881356,0.03595813288212471,0
101002,2021-04-01,20.9,-0.017745867788946594,0,-0.053602754237288136,0.03585688644834154,0
101002,2021-05-01,9.03,-0.10248349105789985,0,-0.13834110169491526,0.03585761063701541,0
101002,2021-06-01,11.52,-0.08471486519769875,0,-0.12056197033898307,0.035847105141284315,0
101002,2021-07-01,12.28,-0.07932822920497891,0,-0.1136626059322034,0.03433437672722449,0
101002,2021-08-01,5.89,-0.12492710892958787,0,-0.15921610169491526,0.03428899276532739,0
101002,2021-09-01,5.8,-0.12557974532461771,0,-0.1556779661016949,0.03009822077707719,0
101002,2021-10-01,6.59,-0.11993986038908593,0,-0.14976071995764956,0.02982085956856363,0
101002,2021-11-01,8.22,-0.10828652011112978,0,-0.1380910534674431,0.02980453335631332,0
101002,2021-12-01,14.24,-0.06533195193611388,0,-0.0951254632080466,0.02979351127193272,0
101002,2022-01-01,23.44,4.3295334983751765e-4,0,-0,4.3295334983751765e-4,0
101002,2022-02-01,23.43,3.3710677345938356e-4,0,-0,3.3710677345938356e-4,0
101002,2022-03-01,23.42,2.743896844151138e-4,0,-0,2.743896844151138e-4,0
101002,2022-04-01,23.41,2.0447573714594695e-4,0,-0,2.0447573714594695e-4,0
101002,2022-05-01,23.4,9.66907096308451e-5,0,-0,9.66907096308451e-5,0
101002,2022-06-01,22.09,-0.009215109067277471,0,-0.00928268925357332,6.758018629584937e-5,0
101002,2022-07-01,9.15,-0.10168572520099559,0,-0.10175595553202754,7.02303310319574e-5,0
101002,2022-08-01,3.15,-0.1444875453961111,0,-0.14454473266278456,5.718726667344184e-5,0
101002,2022-09-01,1.5,-0.15626047520609632,0,-0.15630280571731076,4.233051121444401e-5,0
101002,2022-10-01,2.65,-0.14806893885133923,0,-0.1581593435680254,0.01009040471668618,0
101002,2022-11-01,3.23,-0.14389963086580124,0,-0.15400423504499736,0.010104604179196125,0
101002,2022-12-01,7.52,-0.11328169338354142,0,-0.12341556379036528,0.010133870406823857,0
101002,2023-01-01,26.33,0.021033998172099926,0,-0,0.021033998172099926,0
